title,unit_price,description,date_updated
"Pork - Tenderloin, Frozen",6,"Change Other Device in Male Perineum, External Approach",13/07/2021
Buffalo - Short Rib Fresh,65,"Drainage of Left Thorax Muscle, Percutaneous Approach",13/02/2021
Chickensplit Half,8,"Reposition Products of Conception, Ectopic, Open Approach",20/05/2021
Duck - Legs,100,"Revision of Intbd Fus Dev in C-thor Jt, Open Approach",28/12/2021
Bread - Raisin,29,"Repair Left Fallopian Tube, Endo",01/01/2022
Wine - Domaine Boyar Royal,84,"Repair Left Thorax Bursa and Ligament, Open Approach",13/05/2021
Trout - Smoked,72,"Excision of Male Perineum, Percutaneous Endoscopic Approach",09/12/2021
"Bread - Bagels, Plain",48,"Bypass L Ext Iliac Art to L Ext Ilia, Open Approach",26/09/2021
"Beans - Kidney, Canned",61,"Supplement R Colic Art with Synth Sub, Perc Endo Approach",18/04/2021
Filo Dough,53,"Transplantation of Eye into POC, Perc Endo Approach",05/09/2021
Water - Green Tea Refresher,71,"Dilate of Low Art, Bifurc, with Intralum Dev, Open Approach",07/09/2021
Potatoes - Parissienne,97,"Dilation of L Ulnar Art with 3 Intralum Dev, Perc Approach",06/05/2021
Tomatoes Tear Drop Yellow,40,"Removal of Infusion Dev from Periton Cav, Perc Endo Approach",12/09/2021
"Cheese - Brie, Triple Creme",91,Computerized Tomography (CT Scan) of Right Kidney,06/10/2021
"Trout - Rainbow, Frozen",24,"Repair Pulmonary Trunk, Percutaneous Endoscopic Approach",24/11/2021
Pate - Cognac,4,"Excision of T-lum Jt, Perc Approach, Diagn",12/12/2021
Carbonated Water - Blackberry,50,"Bypass L Vas Deferens to L Vas Def w Autol Sub, Open",12/03/2021
Crab - Meat,13,"Bypass R Int Iliac Art to L Femor A w Autol Vn, Open",19/02/2021
Capon - Whole,92,"Release Cystic Duct, Via Natural or Artificial Opening",14/07/2021
"Corn - Cream, Canned",5,"Extirpation of Matter from Left Ureter, Via Opening",16/05/2021
Ecolab - Power Fusion,93,"Revision of Drainage Device in Testis, Open Approach",30/11/2021
Shrimp - 31/40,25,"Dilation of L Verteb Art with 2 Drug-elut, Open Approach",06/06/2021
Tomatoes,93,Fluoroscopy of L Low Extrem Art using Oth Contrast,06/11/2021
Shichimi Togarashi Peppeers,8,"Excision of Right Vocal Cord, Via Opening, Diagn",08/01/2022
"Lamb - Loin, Trimmed, Boneless",28,"Insert of Limb Length Dev into L Radius, Perc Endo Approach",17/04/2021
Bar Mix - Lemon,19,Beam Radiation of Leg Skin using Heavy Particles,23/07/2021
Curry Paste - Madras,77,LDR Brachytherapy of Chest using Californium 252,09/10/2021
Squid Ink,39,Fluoroscopy of Thoracic Aorta,25/11/2021
Tea - Lemon Green Tea,70,"Bypass R Ant Chamber to Sclera with Synth Sub, Perc Approach",13/12/2021
Oneshot Automatic Soap System,33,"Occlusion of Low Art with Extralum Dev, Perc Endo Approach",09/08/2021
"Cheese - Havarti, Roasted Garlic",99,"Extirpate of Matter from L Hand Subcu/Fascia, Perc Approach",06/11/2021
Avocado,45,"Release Left Lacrimal Bone, Open Approach",14/12/2021
Cheese - Gorgonzola,76,"Drainage of Right Fallopian Tube, Via Opening",23/02/2021
Chicken - Wieners,74,"Drainage of Right Seminal Vesicle, Perc Approach, Diagn",26/12/2021
Shrimp - Black Tiger 16/20,14,CT Scan of Mandible using Oth Contrast,20/11/2021
Spic And Span All Purpose,36,"Repair Right Upper Eyelid, External Approach",09/12/2021
Bar Special K,6,"Extirpation of Matter from 4+ Cor Art, Open Approach",13/05/2021
Country Roll,55,"Fragmentation in Large Intestine, Percutaneous Approach",25/09/2021
Puree - Blackcurrant,80,"Revision of Drain Dev in Prostate/Seminal Ves, Perc Approach",16/01/2022
Wine - Marlbourough Sauv Blanc,55,"Drainage of Right Popliteal Artery, Open Approach, Diagn",20/05/2021
Sea Bass - Whole,36,"Occlusion of R Brach Art with Intralum Dev, Open Approach",19/06/2021
Chips Potato Swt Chilli Sour,31,"Extraction of Left Hip Bursa and Ligament, Perc Approach",03/09/2021
Wine - Champagne Brut Veuve,24,"Drainage of R Verteb Vein with Drain Dev, Perc Endo Approach",10/07/2021
Quail - Jumbo Boneless,58,"Removal of Radioact Elem from Peritoneum, Open Approach",09/12/2021
Ecolab - Hobart Upr Prewash Arm,89,"Replacement of R Renal Vein with Nonaut Sub, Open Approach",10/07/2021
"Sole - Dover, Whole, Fresh",35,"Revision of Neuro Lead in L Innom Vein, Perc Approach",06/12/2021
Wine - Sake,85,"Drainage of Occipital-cervical Joint, Open Approach, Diagn",01/02/2022
Radish,99,"Supplement Scrotum with Nonaut Sub, Extern Approach",18/12/2021
Trout Rainbow Whole,35,"Reattachment of L Thorax Bursa/Lig, Open Approach",31/03/2021
Sauce - Plum,69,"Revision of Autol Sub in Vagina & Cul-de-sac, Perc Approach",30/10/2021
Island Oasis - Raspberry,38,"Dilation of Urethra with Intraluminal Device, Perc Approach",29/06/2021
Napkin White - Starched,57,"Revision of Autol Sub in L Extraoc Muscle, Perc Approach",26/02/2021
Salmon - Canned,28,"Extirpate of Matter from L Adrenal Gland, Perc Endo Approach",25/07/2021
Godiva White Chocolate,68,"Restriction of L Hand Art with Intralum Dev, Open Approach",06/03/2021
Quinoa,66,"Release Cervicothoracic Vertebral Disc, Perc Endo Approach",25/03/2021
"Bread - White, Sliced",85,"Destruction of L Hand Bursa/Lig, Perc Endo Approach",24/11/2021
Water - Spring Water 500ml,27,"Monitoring of POC, Cardiac Rate, Extern Approach",20/04/2021
Dc - Sakura Fu,22,"Drain L Low Arm & Wrist Muscle w Drain Dev, Perc",07/12/2021
Paste - Black Olive,59,"Release Left Upper Leg Muscle, External Approach",25/10/2021
Glass Clear 8 Oz,45,"Revision of Synthetic Substitute in Testis, Endo",02/12/2021
Clams - Canned,4,"Excision of Right Shoulder Region, Open Approach",05/07/2021
"Crab - Blue, Frozen",83,"Drainage of Inf Mesent Art with Drain Dev, Perc Approach",13/06/2021
Pepper - Cubanelle,17,"Drainage of R Pleural Cav with Drain Dev, Perc Approach",30/01/2022
Squeeze Bottle,71,"Removal of Synth Sub from Face, Perc Endo Approach",31/07/2021
"Cheese - Mozzarella, Shredded",79,"Extirpation of Matter from Left Carpal, Perc Endo Approach",22/12/2021
Turkey Tenderloin Frozen,7,"Inspection of Right Sternoclavicular Joint, Perc Approach",11/07/2021
Oil - Margarine,73,"Replacement of Upper Lip with Synth Sub, Open Approach",03/10/2021
Aspic - Amber,88,"Dilate L Fem Art, Bifurc, w 3 Intralum Dev, Open",30/03/2021
"Bread - Bagels, Mini",81,"Excision of Abdominal Wall, Stoma, External Approach",07/08/2021
"Beef - Tongue, Fresh",41,"Removal of Int Fix from L Acetabulum, Extern Approach",28/12/2021
Bread - Hot Dog Buns,41,"Dilate of R Thyroid Art with 4+ Intralum Dev, Open Approach",08/07/2021
Cup Translucent 9 Oz,78,"Removal of Autol Sub from Ureter, Perc Endo Approach",31/08/2021
Rosemary - Dry,37,"Insert of Infusion Dev into L Elbow Jt, Perc Endo Approach",19/07/2021
Spice - Paprika,76,Planar Nucl Med Imag of Chest & Abd using Thallium 201,21/05/2021
Poppy Seed,90,"Release Thorax Lymphatic, Open Approach",15/02/2021
"Liqueur Banana, Ramazzotti",30,"Drainage of Left Upper Leg Tendon, Open Approach",02/07/2021
Calypso - Lemonade,61,"Supplement R Sternoclav Jt w Autol Sub, Perc Endo",16/10/2021
Wine - Pinot Noir Mondavi Coastal,61,"Replace L Up Leg Tendon w Autol Sub, Perc Endo",19/10/2021
Cherries - Fresh,51,"Occlusion Hepatic Art w Extralum Dev, Perc Endo",18/01/2022
Seedlings - Clamshell,88,"Revision of Synth Sub in L Extraoc Muscle, Open Approach",19/01/2022
"Butter - Salted, Micro",65,"Dilation of Right Internal Iliac Artery, Perc Approach",24/10/2021
Cheese - Oka,59,"Control Bleeding in Male Perineum, Perc Endo Approach",30/04/2021
Wine - Guy Sage Touraine,75,"Removal of Infusion Device from Testis, Endo",30/05/2021
Dried Apple,73,"Removal of Neuro Lead from L Innom Vein, Perc Approach",03/04/2021
Nori Sea Weed,69,"Release Right Internal Mammary Artery, Perc Endo Approach",13/07/2021
Honey - Liquid,26,"Dilation of Innom Art with 4+ Intralum Dev, Open Approach",13/08/2021
Salt And Pepper Mix - White,85,"Dilation of L Axilla Art with 2 Intralum Dev, Perc Approach",22/12/2021
"Bread - Multigrain, Loaf",16,"Excision of Left Foot Tendon, Percutaneous Approach, Diagn",26/02/2021
Wine - Fino Tio Pepe Gonzalez,29,"Repair Femoral Nerve, Percutaneous Endoscopic Approach",30/08/2021
Puree - Kiwi,57,"Reposition Left Lesser Saphenous Vein, Percutaneous Approach",31/10/2021
Appetizer - Southwestern,37,Immobilization of Left Lower Extremity using Splint,22/07/2021
"Beef - Tenderlion, Center Cut",23,"Exercise Trmt Resp Head, Neck w Mech/Electromech Equip",27/01/2022
Eel - Smoked,64,"Replace R Ethmoid Bone w Nonaut Sub, Perc Endo",11/06/2021
Lamb Rack - Ontario,43,"Drain R Low Arm Subcu/Fascia w Drain Dev, Open",31/01/2022
Scallops - U - 10,67,"Release Right Foot Skin, External Approach",03/12/2021
Ecolab - Mikroklene 4/4 L,13,"Drainage of Right Foot with Drainage Device, Open Approach",30/03/2021
Pineapple - Golden,85,"Revision of Synth Sub in Cisterna Chyli, Perc Endo Approach",15/01/2022
Squid Ink,29,"Bypass Spinal Canal to Periton Cav w Nonaut Sub, Perc",18/04/2021
Wine - Zinfandel California 2002,85,"Excision of R Hand Bursa/Lig, Perc Endo Approach, Diagn",18/01/2022
Table Cloth 54x54 White,58,"Drainage of Left External Ear, Open Approach",24/10/2021
Wine - Chianti Classico Riserva,11,"Dilate L Ext Carotid w Drug-elut Intra, Perc Endo",28/05/2021
Cognac - Courvaisier,15,"Insertion of Pedcl Stabl Dev into Lum Jt, Open Approach",14/08/2021
"Cheese - Brie, Triple Creme",75,"Occlusion R Cephalic Vein w Intralum Dev, Open",10/03/2021
Bread Sour Rolls,31,"Extirpation of Matter from Right Hepatic Duct, Open Approach",18/11/2021
Plastic Arrow Stir Stick,59,"Release Right Frontal Sinus, Perc Endo Approach",12/10/2021
Cheese - Brick With Onion,87,"Supplement Portal Vein with Synth Sub, Open Approach",31/07/2021
Pants Custom Dry Clean,62,"Drainage of Right Ovary, Percutaneous Approach",27/08/2021
Wine - Piper Heidsieck Brut,14,"Dilation of Right Common Carotid Artery, Open Approach",02/11/2021
Mustard - Individual Pkg,81,"Drainage of Abd Subcu/Fascia, Perc Approach",09/01/2022
Beef - Short Ribs,82,"Supplement R Elbow Bursa/Lig w Nonaut Sub, Perc Endo",16/08/2021
"Iced Tea - Lemon, 460 Ml",10,"Supplement R Fallopian Tube w Synth Sub, Perc Endo",03/03/2021
"Wine - White, Ej Gallo",21,"Bypass Colic Vein to Low Vein w Synth Sub, Perc Endo",23/10/2021
The Pop Shoppe Pinapple,50,"Drainage of Upper Jaw, Percutaneous Approach, Diagnostic",30/06/2021
Flour - Whole Wheat,88,"Control Bleeding in Lower Back, Perc Endo Approach",27/03/2021
Bread Base - Gold Formel,67,"Excision of Left Elbow Joint, Percutaneous Approach, Diagn",26/11/2021
Tea - Decaf Lipton,68,"Dilate L Vas Deferens w Intralum Dev, Perc Endo",22/08/2021
Compound - Passion Fruit,78,"Introduction of Nutritional into Lymph, Perc Approach",20/06/2021
Appetizer - Lobster Phyllo Roll,6,"Radiation Therapy, Endocrine System, Other Radiation",25/11/2021
Beer - Blue Light,83,"Fusion of Lumbosacral Joint, Post Appr A Col, Perc Approach",10/02/2022
"Yogurt - Banana, 175 Gr",98,"Destruction of Cervical Vertebral Joint, Open Approach",04/11/2021
Pur Source,11,"Insertion of Infusion Dev into L Shoulder Jt, Perc Approach",30/05/2021
Bread Foccacia Whole,95,"Revision of Drain Dev in R Sternoclav Jt, Extern Approach",24/09/2021
Bar Nature Valley,58,"Drainage of Nasal Septum, Percutaneous Endoscopic Approach",23/09/2021
Toothpick Frilled,63,"Dilation of Right Lesser Saphenous Vein, Perc Approach",28/01/2022
Nantuket Peach Orange,75,"Bypass Abd Aorta to B Com Ilia w Synth Sub, Perc Endo",07/09/2021
Rice Wine - Aji Mirin,91,"Insert of Pressure Sens into R Pulm Vein, Perc Endo Approach",26/06/2021
Icecream - Dstk Super Cone,73,"Replacement of L Hip Jt, Acetab with Polyeth, Open Approach",01/01/2022
Dc - Sakura Fu,90,"Supplement L Femur Shaft with Autol Sub, Perc Endo Approach",04/03/2021
Tia Maria,23,"Dilate Inf Mesent Art w 3 Drug-elut, Perc Endo",07/02/2022
Tofu - Soft,13,"Dilation of 3 Cor Art with Radioact Intralum, Perc Approach",16/09/2021
Wine - Savigny - Les - Beaune,81,"Bypass Innom Art to R Up Arm Art w Nonaut Sub, Open",11/12/2021
Ecolab - Hand Soap Form Antibac,99,"Supplement R Foot Vein with Nonaut Sub, Perc Endo Approach",29/04/2021
Pie Box - Cello Window 2.5,83,"Reposition Left Ankle Joint, Open Approach",30/12/2021
Grapefruit - White,17,"Revision of Int Fix in Cerv Jt, Perc Endo Approach",11/05/2021
Wine - Magnotta - Bel Paese White,61,CT Scan of Sacrum & Coccyx using L Osm Contrast,20/03/2021
Bok Choy - Baby,78,"Dilation of R Ext Carotid with 3 Intralum Dev, Open Approach",27/01/2022
Ham - Cooked Italian,59,"Drainage of L Temporomandib Jt, Perc Approach, Diagn",15/01/2022
Soup Campbells Split Pea And Ham,85,"Inspection of Lower Bone, External Approach",14/11/2021
"Orange - Canned, Mandarin",93,LDR Brachytherapy of Tongue using Iridium 192,02/07/2021
Hold Up Tool Storage Rack,10,"Revision of Spacer in R Toe Phalanx Jt, Extern Approach",24/10/2021
Flour - All Purpose,94,"Bypass Splenic Art to R Renal A with Autol Vn, Open Approach",07/11/2021
Sugar - Invert,64,"Revise Infusion Dev in Vagina & Cul-de-sac, Extern",07/09/2021
"Wine - Mas Chicet Rose, Vintage",55,"Bypass 2 Cor Art from Aorta w Zooplastic, Perc Endo",01/10/2021
"Salmon - Atlantic, Skin On",23,"Bypass L Atrium to R Pulm Vn with Zooplastic, Open Approach",17/07/2021
Soup Bowl Clear 8oz92008,100,"Bypass L Axilla Art to L Extracran Art w Autol Vn, Open",08/04/2021
Pork - Caul Fat,4,"Dilate R Ulnar Art, Bifurc, w 2 Intralum Dev, Perc",29/05/2021
Sobe - Cranberry Grapefruit,24,"Excision of Perineum Tendon, Perc Endo Approach",23/11/2021
Wine - Saint Emilion Calvet,31,"Removal of Synth Sub from Fem Perineum, Perc Endo Approach",15/02/2021
Wine - Pinot Noir Stoneleigh,93,"Release Common Bile Duct, Via Natural or Artificial Opening",12/12/2021
"Beef - Rib Roast, Cap On",61,"Alteration of R Wrist with Autol Sub, Perc Endo Approach",06/05/2021
Cheese - Gorgonzola,56,"Extirpation of Matter from Lum Jt, Perc Endo Approach",11/01/2022
Cookies Cereal Nut,80,"Resection of Bi Fallopian Tube, Via Opening w Perc Endo",01/05/2021
Tea - English Breakfast,35,"Bypass Trans Colon to Rectum with Synth Sub, Open Approach",04/05/2021
"Pasta - Elbows, Macaroni, Dry",58,"Revision of Autol Sub in L Thumb Phalanx, Extern Approach",04/05/2021
Chicken - Leg / Back Attach,92,"Extirpation of Matter from Lingula Bronchus, Perc Approach",04/01/2022
Sauce - Hoisin,98,"Restriction of Right Pulmonary Vein, Percutaneous Approach",26/04/2021
Creme De Menth - White,48,"Revision of Nonautologous Tissue Substitute in Trachea, Endo",19/01/2022
Cape Capensis - Fillet,65,Beam Radiation of Eye using Photons 1 - 10 MeV,27/08/2021
Beans - Butter Lrg Lima,30,"CT Scan Bi Salivary Gland w L Osm Contrast, Unenh, Enhance",12/03/2021
Wine - Two Oceans Sauvignon,82,"Extirpation of Matter from Thor Jt, Open Approach",10/07/2021
Muffin Hinge - 211n,14,"Bypass L Pulm Art from Subclav w Zooplastic, Perc Endo",21/10/2021
"Liqueur Banana, Ramazzotti",44,"Drainage of Right Radius, Percutaneous Endoscopic Approach",14/01/2022
Sun - Dried Tomatoes,92,"Occlusion of Accessory Pancreatic Duct, Perc Endo Approach",23/06/2021
Cookies - Englishbay Wht,33,"Release Left Inferior Parathyroid Gland, Open Approach",24/11/2021
Lid - 3oz Med Rec,42,"Repair Supernumerary Breast, Open Approach",08/09/2021
Strawberries - California,94,"Reposition Sacrococcygeal Joint, Perc Endo Approach",29/08/2021
"Nut - Pecan, Halves",5,"Drainage of Descending Colon with Drainage Device, Endo",10/04/2021
Schnappes Peppermint - Walker,9,"Removal of Autol Sub from Larynx, Open Approach",11/09/2021
Bay Leaf,64,"Extirpation of Matter from R Lacrml Gland, Extern Approach",04/10/2021
"Pork - Back, Short Cut, Boneless",83,"Revision of Intralum Dev in Uterus & Cervix, Via Opening",09/03/2021
Sauce - Mint,61,"Excision of Lumbar Vertebra, Perc Endo Approach, Diagn",23/12/2021
Chevril,58,"Reposition Bilateral Testes, Open Approach",24/05/2021
Cucumber - English,87,"Bypass Left Kidney Pelvis to L Kid Pelv, Open Approach",30/01/2022
Wine - Fontanafredda Barolo,78,"Release Left Upper Arm Skin, External Approach",26/03/2021
Island Oasis - Pina Colada,84,"Replacement of Left Maxilla with Nonaut Sub, Open Approach",30/05/2021
Artichokes - Jerusalem,1,"Drainage of Bi Vas Deferens with Drain Dev, Perc Approach",25/11/2021
Spice - Montreal Steak Spice,15,"Lymphatic and Hemic Systems, Extirpation",22/10/2021
Huck White Towels,16,Fluoroscopy of Right Brachiocephalic-Subclavian Artery,17/10/2021
Wine - Magnotta - Cab Franc,13,"Drainage of Left Spermatic Cord, Open Approach, Diagnostic",29/04/2021
"Pasta - Spaghetti, Dry",15,"Replace Back Skin w Autol Sub, Part Thick, Extern",13/12/2021
Foil - 4oz Custard Cup,84,"Excision of L Inf Parathyroid, Perc Endo Approach, Diagn",12/08/2021
Wine - Wyndham Estate Bin 777,58,"Supplement Left Palatine Bone with Nonaut Sub, Open Approach",26/04/2021
"Beef - Bones, Cut - Up",1,"Restrict of Cisterna Chyli with Extralum Dev, Perc Approach",28/11/2021
"Cheese - Mozzarella, Shredded",63,"Extirpation of Matter from Brach Plexus, Perc Endo Approach",18/09/2021
Beef Flat Iron Steak,82,"Drainage of Right Sphenoid Bone, Perc Endo Approach",02/02/2022
Foil Wrap,8,"Revision of Synth Sub in Pelvic Cav, Open Approach",31/03/2021
Nantucket - Carrot Orange,62,"Insertion of Intralum Dev into R Brach Vein, Perc Approach",12/05/2021
Bandage - Flexible Neon,42,"Release Left Mandible, Percutaneous Approach",27/02/2021
Strawberries - California,89,HDR Brachytherapy of Larynx using Iridium 192,06/04/2021
Bread Bowl Plain,77,Plain Radiography of Right Knee using Other Contrast,15/07/2021
"Lamb - Whole, Frozen",24,"Restrict Thor Aorta Asc w Fenestr Dev 3+, Perc Endo",05/08/2021
"Shrimp - Baby, Warm Water",53,"Fusion of Left Acromioclavicular Joint, Perc Approach",21/07/2021
"Tart Shells - Sweet, 3",84,"Occlusion Sup Mesent Art w Intralum Dev, Perc Endo",13/11/2021
"Garlic - Primerba, Paste",58,Computerized Tomography (CT Scan) of Left Pulmonary Vein,23/04/2021
Wine - Balbach Riverside,9,"Restrict R Com Iliac Art w Extralum Dev, Perc Endo",07/05/2021
"Crab - Dungeness, Whole, live",55,"Drain of L Sphenoid Bone with Drain Dev, Perc Endo Approach",22/11/2021
Beans - Green,75,"Occlusion R Thyroid Art w Intralum Dev, Perc Endo",29/05/2021
Arizona - Plum Green Tea,12,"Bypass R Com Iliac Art to Celiac Art w Autol Vn, Perc Endo",17/06/2021
"Pork - Bacon,back Peameal",90,"Ultrasonography of Left Subclavian Vein, Guidance",24/04/2021
Puff Pastry - Sheets,43,"Drainage of Right Thyroid Gland Lobe, Open Approach",26/07/2021
Beef Dry Aged Tenderloin Aaa,25,"Transfer Perineum Subcu/Fascia, Perc Approach",26/12/2021
"Coconut - Shredded, Sweet",48,"Insertion of Int Fix into R Elbow Jt, Open Approach",26/04/2021
"Pasta - Lasagna, Dry",32,"Bypass Ileum to Cutaneous with Synth Sub, Perc Approach",27/10/2021
"Soup - Campbells, Creamy",45,"Supplement Hepatic Artery with Synth Sub, Perc Approach",18/03/2021
Beer - Camerons Cream Ale,47,"Reposition Right External Jugular Vein, Open Approach",25/02/2021
Chicken - Bones,96,"Restriction of Colic Vein with Intralum Dev, Open Approach",10/06/2021
Cheese - Goat With Herbs,4,"Release Lower Esophagus, Via Natural or Artificial Opening",22/02/2021
Bacardi Mojito,70,"Replacement of Left Tarsal with Autol Sub, Open Approach",01/06/2021
"Plate - Foam, Bread And Butter",87,"Monitoring of Respiratory Volume, Via Opening",25/04/2021
"Oil - Shortening,liqud, Fry",69,"Bypass R Kidney Pelvis to R Ureter w Autol Sub, Perc Endo",16/04/2021
Energy Drink - Franks Pineapple,83,"Release Right Common Carotid Artery, Open Approach",05/03/2021
Cheese - Valancey,33,"Remove Infusion Dev from R Metatarsotars Jt, Extern",29/01/2022
"Soup - Knorr, Veg / Beef",58,"Drainage of Duodenum with Drain Dev, Perc Endo Approach",22/04/2021
Absolut Citron,96,"Supplement L Hepatic Duct w Nonaut Sub, Perc Endo",17/07/2021
"Cheese - Cheddar, Mild",9,Removal of Splint on Right Upper Arm,03/08/2021
Muffin - Carrot Individual Wrap,51,"Replacement of L Thumb Phalanx with Synth Sub, Perc Approach",16/12/2021
Bread - Frozen Basket Variety,24,"Repair Right Lesser Saphenous Vein, Perc Endo Approach",05/12/2021
Coconut - Whole,60,"Excision of Esophagus, Perc Endo Approach, Diagn",10/01/2022
"Wine - White, Riesling, Semi - Dry",95,"Reattachment of Descending Colon, Perc Endo Approach",04/09/2021
Alize Sunset,68,Ultrasonography of Right Heart,25/02/2021
Tumeric,99,LDR Brachytherapy of Soft Palate using Oth Isotope,20/04/2021
Cheese - Victor Et Berthold,48,"Reposition Left Shoulder Muscle, Open Approach",28/11/2021
Pork - Hock And Feet Attached,58,"Reposition Right Sphenoid Bone, External Approach",25/12/2021
"Chilli Paste, Hot Sambal Oelek",100,"Revision of Int Fix in T-lum Jt, Perc Approach",25/08/2021
Cleaner - Lime Away,35,"Insertion of Intralum Dev into R Basilic Vein, Perc Approach",11/07/2021
Cabbage - Red,39,"Repair Bilateral Fallopian Tubes, Open Approach",03/02/2022
Crackers Cheez It,84,"Repair Left Abdomen Bursa and Ligament, Perc Approach",18/02/2021
Cake - Night And Day Choclate,42,"Revision of Drainage Device in Right Breast, Endo",23/10/2021
Bread - Crusty Italian Poly,27,"Detachment at Right Little Finger, Complete, Open Approach",03/06/2021
Macaroons - Two Bite Choc,88,Change Cast on Left Inguinal Region,20/10/2021
Oregano - Fresh,99,"Release Cervicothoracic Vertebral Disc, External Approach",10/11/2021
Wine - Trimbach Pinot Blanc,100,"Destruction of Trochlear Nerve, Percutaneous Approach",19/11/2021
"Vermacelli - Sprinkles, Assorted",27,"Supplement Bi Vas Deferens with Autol Sub, Open Approach",01/02/2022
Lettuce - Boston Bib,12,"Revision of Drain Dev in L Acromioclav Jt, Extern Approach",02/11/2021
Garlic Powder,90,"Excision of Left Ovary, Percutaneous Approach",26/11/2021
Flour Pastry Super Fine,29,"Monitoring of Venous Pulse, Central, Open Approach",27/04/2021
Wine - Pinot Noir Mondavi Coastal,64,Beam Radiation of Chest Skin using Neutrons,12/03/2021
"Fish - Soup Base, Bouillon",54,"Drainage of Left Lower Leg, Open Approach",27/04/2021
Horseradish Root,51,"Repair Lower Back, Percutaneous Approach",17/11/2021
"Pork - Loin, Center Cut",12,"Excision of Right Radial Artery, Perc Endo Approach",02/12/2021
Beef - Short Loin,62,Synth Sentence Ident Assessment using Sound Field/Booth,06/06/2021
Tomato - Peeled Italian Canned,7,"Drainage of Right Upper Extremity, Open Approach, Diagnostic",22/03/2021
Veal - Striploin,70,"Insertion of Infusion Dev into R Verteb Vein, Perc Approach",01/04/2021
"Pork - Sausage, Medium",19,"Revision of Infusion Device in Pericard Cav, Perc Approach",03/10/2021
Ice Cream Bar - Rolo Cone,95,"Extirpation of Matter from Left Face Vein, Perc Approach",18/02/2021
"Sugar - Sweet N Low, Individual",19,"Excision of Thymus, Percutaneous Approach, Diagnostic",05/02/2022
"Beef - Kindney, Whole",40,"Introduce Andexanet Alfa in Periph Vein, Perc, New Tech 2",17/09/2021
Island Oasis - Magarita Mix,12,"Revision of Ext Fix in R Metacarpocarp Jt, Extern Approach",20/04/2021
